ID;PAIS;DATAATUALIZACAO;CODAREA;CODNIVEL
5229375475502600;BRA;14/12/2010 18:39:51;70500002;1
2547404077133010;BRA;26/05/2013 16:31:38;;C
8617801209953223;BRA;16/03/2017 18:26:32;;C
6513149946438353;BRA;11/02/2015 00:10:30;;C
4169445268494237;BRA;20/01/2017 22:56:54;;1
7717403883947783;BRA;16/10/2016 20:39:53;;1
9512822829657448;BRA;16/08/2016 17:54:14;80200001;1
1803716151054477;BRA;19/02/2013 14:29:56;10100008;A
3668352547374748;BRA;10/12/2015 22:26:45;60200006;C
5661484041860791;BRA;05/04/2013 11:17:43;;C
2497340325469462;BRA;03/01/2017 14:33:37;10300007;C
7116335653889122;BRA;22/08/2008 14:31:33;;
0039183385109178;BRA;19/05/2014 09:43:27;50200003;7
6476599356773559;BRA;21/11/2014 00:00:48;30200008;1
5263236397503745;BRA;06/06/2016 15:08:33;60200006;C
0367135544292979;BRA;11/11/2016 01:16:43;40900002;2
7629856293467901;BRA;25/02/2016 16:03:29;70800006;2
4084004978630108;BRA;04/07/2016 16:30:52;;2
4360309823114060;BRA;09/12/2014 10:36:17;70900000;1
2419058068207204;BRA;15/09/2013 18:27:18;60200006;C
4871164133744663;BRA;30/05/2017 08:08:04;40100006;2
6572804247838921;BRA;24/04/2013 22:48:29;60400005;1
8746503428907209;BRA;28/07/2016 15:44:20;70600007;1
6887033929307526;BRA;04/02/2017 15:09:08;;7
7646217332903670;BRA;15/06/2016 12:33:01;;2
1017381238779287;BRA;28/03/2007 00:00:00;;
6448911067542731;BRA;23/07/2014 00:30:53;;1
3902867773524276;BRA;25/08/2014 18:37:28;;C
0005081480416678;BRA;10/07/2016 16:31:18;;1
3220018879242165;BRA;07/10/2016 11:18:03;60100001;2
5672828636577101;BRA;28/04/2016 20:10:51;50100009;2
0554025534875326;BRA;23/08/2016 17:28:00;;1
4930755164244769;BRA;16/06/2015 10:22:03;50400002;1
4012609561569143;BRA;13/05/2005 10:35:46;;3
7746083772479513;BRA;23/02/2016 12:29:15;30500001;C
3818546235345995;BRA;28/06/2011 15:24:44;20400004;Y
1410012682871977;BRA;14/05/2016 00:28:35;30400007;9
0546347639967876;BRA;03/01/2015 19:48:54;;1
2361854181630561;BRA;19/09/2013 14:03:31;30700000;1
0162112818341394;BRA;09/06/2015 11:15:41;50400002;C
9755458998457089;BRA;07/11/2012 11:47:19;;C
9310865885932429;BRA;24/04/2017 15:44:54;30700000;2
4502351056194535;BRA;12/11/2015 09:46:06;70800006;1
3809194963026345;BRA;13/02/2008 17:58:53;10300007;2
2373198234919407;BRA;25/11/2010 23:09:56;;1
8043520417825214;CHL;01/03/2016 21:02:19;10500006;1
2308162671505314;BRA;20/12/2015 21:42:38;10300007;3
6979041984283495;BRA;06/03/2015 20:38:00;30100003;C
7121487476639339;BRA;04/12/2013 12:23:14;60200006;1
6726420260821253;BRA;10/11/2013 22:06:31;10200002;E
0930990044690713;BRA;21/09/2016 10:05:58;70800006;C
1844755335403288;BRA;26/09/2016 09:59:28;;2
8511195108503915;BRA;18/01/2011 11:22:11;60200006;1
2351649243202854;BRA;22/02/2017 14:53:51;10300007;1
2609033484515356;BRA;20/11/2006 00:00:00;;
0315166270772029;BRA;31/10/2016 21:46:19;60100001;1
2368924399652662;BRA;29/01/2010 13:03:39;;
3434126208713383;BRA;01/04/2017 17:31:58;70800006;1
5975936018282780;BRA;03/08/2006 00:00:00;70300003;
4518823698465812;BRA;14/03/2016 22:31:19;30800005;C
4205828604661011;BRA;14/02/2011 16:16:07;93300000;7
1349918623927143;BRA;09/12/2010 14:21:32;92700004;1
4921106112054268;BRA;03/12/2007 22:47:41;40800008;
7296367199243026;BRA;26/04/2017 08:13:17;;3
7681759257815674;BRA;17/07/2012 18:09:05;;1
2384696958702450;BRA;29/03/2017 12:43:12;60100001;2
6144253727873302;BRA;09/06/2016 21:29:45;60200006;2
3692307226103499;BRA;08/11/2013 17:31:50;;C
6161627341535897;BRA;01/03/2017 09:53:52;10600000;3
3588552476813386;BRA;12/12/2005 16:31:24;70800006;3
0523146324828497;BRA;02/04/2017 10:59:10;40100006;9
6707437474501326;BRA;14/05/2017 19:08:08;50400002;3
8456406610261069;BRA;05/05/2015 14:51:47;;C
8361148181414910;BRA;16/02/2016 12:28:47;50500007;3
1781465278185180;BRA;03/08/2015 20:36:05;70700001;2
3679601079691608;BRA;07/06/2013 00:11:45;;C
8934740434085856;BRA;23/03/2015 10:03:53;40700003;1
5608849212415803;BRA;20/10/2011 13:08:05;;C
9671209107105266;BRA;24/03/2017 15:38:42;40500004;C
1437073196098271;BRA;08/05/2017 15:21:27;60100001;2
9516596831253115;BRA;24/08/2005 21:24:28;;
6565924589472260;BRA;06/03/2015 11:32:47;;C
9471678062658971;BRA;28/03/2012 10:53:06;70200009;3
1781261644170404;BRA;19/10/2013 15:36:17;;C
2589588874890126;BRA;03/04/2006 00:00:00;60100001;F
5000412306885550;BRA;30/05/2013 21:25:31;60400005;1
5550608533081241;BRA;03/08/2011 07:48:36;;E
5519478760731225;BRA;11/03/2014 12:52:21;;C
8761163627748479;BRA;16/05/2016 15:32:18;40100006;C
1411645965543149;BRA;28/12/2007 11:18:32;;1
8233995830212759;BRA;09/10/2012 12:50:17;60200006;1
7180887450780232;BRA;07/02/2014 12:08:01;40400000;1
5640202148371203;BRA;17/04/2017 13:06:07;;C
8247110460923421;BRA;11/08/2016 20:01:33;30500001;E
3284403494112364;BRA;04/09/2012 21:49:33;;C
2615144691260722;BRA;05/03/2017 16:50:45;50700006;C
4035394862148661;BRA;20/09/2014 16:14:07;70200009;C
1283796867518076;BRA;31/01/2012 10:32:52;50100009;C
6768818856649620;BRA;05/08/2007 00:00:00;;1